predicate,records_with_predicate,meta_keys_observed
textualProduction.philosophyExtended,152,{}
professionalCareer.kingdowChurchFunction,147,"{""names"": 117, ""institutions"": 107, ""dates"": 86, ""places"": 4}"
relationalInsertion.personalSocialClass,140,"{""names"": 97, ""institutions"": 57, ""dates"": 47, ""places"": 10}"
curriculum.preUniversity,135,"{""places"": 70, ""institutions"": 50, ""dates"": 33, ""names"": 15, ""titles"": 5}"
professionalCareer.business,130,"{""dates"": 49, ""places"": 24, ""institutions"": 15, ""names"": 8, ""titles"": 4}"
textualProduction.justice,128,{}
curriculum.collegeFundations,124,"{""institutions"": 103, ""dates"": 67, ""places"": 28, ""names"": 19, ""titles"": 2}"
origin.movesInOutParis,119,"{""places"": 116, ""dates"": 112, ""institutions"": 12, ""names"": 8, ""titles"": 2}"
distinctiveSign.seals,111,"{""dates"": 86, ""titles"": 8, ""names"": 3, ""institutions"": 3, ""places"": 2}"
ecclesiasticalCareer.benefits,107,"{""dates"": 95, ""institutions"": 85, ""places"": 11, ""names"": 6}"
professionalCareer.localAdministrationFunction,101,"{""institutions"": 88, ""dates"": 79, ""places"": 18, ""names"": 9, ""titles"": 6}"
assets.will,100,"{""dates"": 81, ""institutions"": 18, ""places"": 11, ""names"": 8, ""titles"": 2}"
textualProduction.litterature,97,{}
commissions.otherCommission,96,"{""dates"": 83, ""names"": 73, ""institutions"": 37, ""places"": 29, ""titles"": 18}"
assets.incomes,91,"{""dates"": 61, ""institutions"": 51, ""names"": 32, ""places"": 28, ""titles"": 1}"
politicalCareer.exil,90,"{""dates"": 69, ""places"": 66, ""institutions"": 48, ""titles"": 23, ""names"": 21}"
relationalInsertion.politicalRelationships,89,"{""names"": 80, ""dates"": 45, ""institutions"": 33, ""places"": 6, ""titles"": 3}"
otherActivities.otherActivities,83,"{""dates"": 60, ""institutions"": 53, ""names"": 34, ""places"": 34, ""titles"": 11}"
politicalCareer.violentDeath,82,"{""dates"": 63, ""institutions"": 29, ""names"": 22, ""places"": 20, ""titles"": 3}"
textualProduction.discussedReligion,78,"{""names"": 3}"
textualProduction.medicineOpus,78,{}
professionalCareer.kingdomVariousFunction,68,"{""dates"": 41, ""institutions"": 31, ""names"": 28, ""places"": 3}"
orality.orality,63,"{""dates"": 45, ""places"": 37, ""institutions"": 17, ""names"": 12, ""titles"": 2}"
professionalCareer.townAdministrator,62,"{""dates"": 54, ""institutions"": 50, ""places"": 5, ""names"": 1}"
relationalInsertion.connectionsWith,56,"{""names"": 47, ""dates"": 20, ""institutions"": 19, ""places"": 3, ""titles"": 2}"
relationalInsertion.professionalRelationships,53,"{""names"": 52, ""institutions"": 28, ""dates"": 27, ""places"": 8, ""titles"": 5}"
assets.otherHousing,41,"{""places"": 34, ""dates"": 24, ""institutions"": 13, ""names"": 8}"
professionalCareer.kingdomCulturalFunction,38,"{""names"": 25, ""dates"": 21, ""institutions"": 20, ""places"": 11}"
textualProduction.discussedScience,35,"{""names"": 3, ""titles"": 1}"
textualProduction.discussedPhilosophy,30,"{""names"": 3}"
textualProduction.music,29,{}
textualProduction.discussedHistory,28,"{""names"": 1}"
ecclesiasticalCareer.communityFundations,26,"{""institutions"": 19, ""dates"": 13, ""places"": 6, ""names"": 5}"
distinctiveSign.emblems,17,"{""dates"": 3, ""names"": 1, ""institutions"": 1}"
textualProduction.manyFields,13,{}
professionalCareer.propertiesAdministrator,12,"{""institutions"": 9, ""dates"": 7, ""places"": 5, ""names"": 4}"
textualProduction.discussedPhilosophyExtended,11,"{""names"": 1}"
textualProduction.discussedJustice,9,{}
textualProduction.discussedMedicine,6,"{""names"": 1}"
textualProduction.discussedLitterature,5,{}
textualProduction.pratical,4,{}
textualProduction.discussedPolitical,2,{}
textualProduction.discussedPratical,2,{}
professionalCareer.otherJob,2,{}
