reference,name,link,text_len
5097,HERVEUS Natalis,http://studium-parisiense.univ-paris1.fr/individus/5097-herveusnatalis,60043
56036,RICARDUS de Sancto Victore,http://studium-parisiense.univ-paris1.fr/individus/56036-ricardusdesanctovictore,59786
60272,PHILIPPUS Beroaldus,http://studium-parisiense.univ-paris1.fr/individus/60272-philippusberoaldus,58520
1101,AUGUSTINUS de Ancona,http://studium-parisiense.univ-paris1.fr/individus/1101-augustinusdeancona,57247
10359,PETRUS de Alvernia 2,http://studium-parisiense.univ-paris1.fr/individus/10359-petrusdealvernia2,56022
256,ALANUS Ab Insulis,http://studium-parisiense.univ-paris1.fr/individus/256-alanusabinsulis,55196
4904,HENRICUS de Gandavo,http://studium-parisiense.univ-paris1.fr/individus/4904-henricusdegandavo,55025
1197,BARTHOLOMAEUS de Pisa,http://studium-parisiense.univ-paris1.fr/individus/1197-bartholomaeusdepisa,54643
2356,FRANCISCUS de Mayronis,http://studium-parisiense.univ-paris1.fr/individus/2356-franciscusdemayronis,54150
50893,GUILLELMUS de Alvernia 1,http://studium-parisiense.univ-paris1.fr/individus/50893-guillelmusdealvernia1,52368
487,ALEXANDER de Villa Dei,http://studium-parisiense.univ-paris1.fr/individus/487-alexanderdevilladei,52013
18949,ECHARDUS de Hocheim,http://studium-parisiense.univ-paris1.fr/individus/18949-echardusdehocheim,50480
58381,MARSILIUS de Inghen,http://studium-parisiense.univ-paris1.fr/individus/58381-marsiliusdeinghen,50279
1564,BRUNETTO Latini,http://studium-parisiense.univ-paris1.fr/individus/1564-brunettolatini,49687
4816,HENRICUS Totting de Oyta,http://studium-parisiense.univ-paris1.fr/individus/4816-henricustottingdeoyta,48622
51790,THOMAS Cantimpratensis,http://studium-parisiense.univ-paris1.fr/individus/51790-thomascantimpratensis,47631
58965,PETRUS Hispanus 2,http://studium-parisiense.univ-paris1.fr/individus/58965-petrushispanus2,45273
19054,ENGELBERTUS Admontensis,http://studium-parisiense.univ-paris1.fr/individus/19054-engelbertusadmontensis,44750
51826,ROGARIUS Bacon,http://studium-parisiense.univ-paris1.fr/individus/51826-rogariusbacon,43831
19691,FRANCISCUS Eiximenis,http://studium-parisiense.univ-paris1.fr/individus/19691-franciscuseiximenis,42648
9122,NICOLAUS Trevet,http://studium-parisiense.univ-paris1.fr/individus/9122-nicolaustrevet,42597
58129,MICHAEL Scotus,http://studium-parisiense.univ-paris1.fr/individus/58129-michaelscotus,41705
58174,RUTEBEUF,http://studium-parisiense.univ-paris1.fr/individus/58174-rutebeuf,41644
10765,RICARDUS Fitzralph,http://studium-parisiense.univ-paris1.fr/individus/10765-ricardusfitzralph,40809
4901,HENRICUS de Frimaria senior,http://studium-parisiense.univ-paris1.fr/individus/4901-henricusdefrimariasenior,39572
13574,PETRUS de Alliaco,http://studium-parisiense.univ-paris1.fr/individus/13574-petrusdealliaco,38790
2045,DURANDUS de Sancto Porciano,http://studium-parisiense.univ-paris1.fr/individus/2045-durandusdesanctoporciano,38603
421,ALBERTUS de Saxonia 1,http://studium-parisiense.univ-paris1.fr/individus/421-albertusdesaxonia1,38415
51005,GUILLELMUS Duranti,http://studium-parisiense.univ-paris1.fr/individus/51005-guillelmusduranti,38037
50877,GUIBERTUS Tornacensis,http://studium-parisiense.univ-paris1.fr/individus/50877-guibertustornacensis,37631
60253,BEATUS Rhenanus,http://studium-parisiense.univ-paris1.fr/individus/60253-beatusrhenanus,36965
51497,MATTHAEUS de Acquasparta,http://studium-parisiense.univ-paris1.fr/individus/51497-matthaeusdeacquasparta,36849
51238,HUMBERTUS de Romanis,http://studium-parisiense.univ-paris1.fr/individus/51238-humbertusderomanis,36621
58420,PETRUS de Tarentasia,http://studium-parisiense.univ-paris1.fr/individus/58420-petrusdetarentasia,35024
1293,BERENGARIUS de Landora,http://studium-parisiense.univ-paris1.fr/individus/1293-berengariusdelandora,34377
56835,PETRUS Riga,http://studium-parisiense.univ-paris1.fr/individus/56835-petrusriga,34002
21664,BARTHOLOMAEUS Anglicus,http://studium-parisiense.univ-paris1.fr/individus/21664-bartholomaeusanglicus,33819
53593,MARSILIUS de Padua,http://studium-parisiense.univ-paris1.fr/individus/53593-marsiliusdepadua,32379
58179,RADULPHUS Brito 1,http://studium-parisiense.univ-paris1.fr/individus/58179-radulphusbrito1,31544
58966,PETRUS Hispanus 3,http://studium-parisiense.univ-paris1.fr/individus/58966-petrushispanus3,31422
1477,BERTRANDUS de Turre,http://studium-parisiense.univ-paris1.fr/individus/1477-bertrandusdeturre,31272
50881,GUIDO Faba,http://studium-parisiense.univ-paris1.fr/individus/50881-guidofaba,31272
21532,GALFREDUS Autissodoriensis,http://studium-parisiense.univ-paris1.fr/individus/21532-galfredusautissodoriensis,30751
50072,GENTILIS de Fulgineo,http://studium-parisiense.univ-paris1.fr/individus/50072-gentilisdefulgineo,30561
51004,GUILLELMUS de Deguilevilla,http://studium-parisiense.univ-paris1.fr/individus/51004-guillelmusdedeguilevilla,30354
9776,PETRUS Berchorius,http://studium-parisiense.univ-paris1.fr/individus/9776-petrusberchorius,30335
2667,GALFREDUS de Vinosalvo,http://studium-parisiense.univ-paris1.fr/individus/2667-galfredusdevinosalvo,30182
51783,RICARDUS de Mediavilla,http://studium-parisiense.univ-paris1.fr/individus/51783-ricardusdemediavilla,30106
3654,GUILLELMUS de Sancto Amore,http://studium-parisiense.univ-paris1.fr/individus/3654-guillelmusdesanctoamore,29979
122,ADAM de Buckfield,http://studium-parisiense.univ-paris1.fr/individus/122-adamdebuckfield,29724
51775,ROBERTUS Kilwardby,http://studium-parisiense.univ-paris1.fr/individus/51775-robertuskilwardby,29606
15542,ROBERTUS Ciboule,http://studium-parisiense.univ-paris1.fr/individus/15542-robertusciboule,29466
19060,BERNARDUS Gordonii,http://studium-parisiense.univ-paris1.fr/individus/19060-bernardusgordonii,29185
11321,RICARDUS de Furnivalle,http://studium-parisiense.univ-paris1.fr/individus/11321-ricardusdefurnivalle,28918
19056,EBRARDUS Bethuniensis,http://studium-parisiense.univ-paris1.fr/individus/19056-ebrardusbethuniensis,28735
2311,FRANCISCUS de Marchia,http://studium-parisiense.univ-paris1.fr/individus/2311-franciscusdemarchia,28217
2172,EUSTASIUS Buisine,http://studium-parisiense.univ-paris1.fr/individus/2172-eustasiusbuisine,28136
57535,SIGERUS de Brabancio,http://studium-parisiense.univ-paris1.fr/individus/57535-sigerusdebrabancio,27780
210,AEGIDIUS Pulchermatris,http://studium-parisiense.univ-paris1.fr/individus/210-aegidiuspulchermatris,27550
23283,GERARDUS de Barri,http://studium-parisiense.univ-paris1.fr/individus/23283-gerardusdebarri,27369
53671,HELINANDUS Frigidis Montis,http://studium-parisiense.univ-paris1.fr/individus/53671-helinandusfrigidismontis,27196
2806,GERARDUS Groot de Davantria,http://studium-parisiense.univ-paris1.fr/individus/2806-gerardusgrootdedavantria,26956
10416,PETRUS Pictaviensis 1,http://studium-parisiense.univ-paris1.fr/individus/10416-petruspictaviensis1,26787
54901,GUILLELMUS Heytesbury,http://studium-parisiense.univ-paris1.fr/individus/54901-guillelmusheytesbury,26027
2505,GALTERIUS Wardlaw,http://studium-parisiense.univ-paris1.fr/individus/2505-galteriuswardlaw,25876
19057,EBRARDUS de Contiaco,http://studium-parisiense.univ-paris1.fr/individus/19057-ebrardusdecontiaco,25825
50935,GUILLELMUS de Conchis,http://studium-parisiense.univ-paris1.fr/individus/50935-guillelmusdeconchis,25376
3119,AEGIDIUS Corboliensis,http://studium-parisiense.univ-paris1.fr/individus/3119-aegidiuscorboliensis,24963
172,AEGIDIUS Carlerii,http://studium-parisiense.univ-paris1.fr/individus/172-aegidiuscarlerii,24732
13716,THOMAS de Courcellis,http://studium-parisiense.univ-paris1.fr/individus/13716-thomasdecourcellis,24697
3446,GUILLELMUS de Alnwick,http://studium-parisiense.univ-paris1.fr/individus/3446-guillelmusdealnwick,24642
58147,THOMAS de Sutton,http://studium-parisiense.univ-paris1.fr/individus/58147-thomasdesutton,24461
57830,REMIGIUS de Girolami,http://studium-parisiense.univ-paris1.fr/individus/57830-remigiusdegirolami,24448
13542,NICOLAUS de Gonnetia,http://studium-parisiense.univ-paris1.fr/individus/13542-nicolausdegonnetia,23945
1520,BOETIUS de Dacia,http://studium-parisiense.univ-paris1.fr/individus/1520-boetiusdedacia,23916
3322,GUERRICUS de Saint Quentin,http://studium-parisiense.univ-paris1.fr/individus/3322-guerricusdesaintquentin,23702
51267,HERMANNUS de Schildis,http://studium-parisiense.univ-paris1.fr/individus/51267-hermannusdeschildis,23650
211,AEGIDIUS de Campis 1,http://studium-parisiense.univ-paris1.fr/individus/211-aegidiusdecampis1,23543
3542,GUILLELMUS de Altona,http://studium-parisiense.univ-paris1.fr/individus/3542-guillelmusdealtona,23091
497,ALEXANDER Nequam,http://studium-parisiense.univ-paris1.fr/individus/497-alexandernequam,22995
22918,GERARDUS Odonis,http://studium-parisiense.univ-paris1.fr/individus/22918-gerardusodonis,22931
21828,DOMINICUS Gundisalvi,http://studium-parisiense.univ-paris1.fr/individus/21828-dominicusgundisalvi,22730
58027,SIMON de Faversham,http://studium-parisiense.univ-paris1.fr/individus/58027-simondefaversham,22502
3345,GUIARDUS Laudunensis,http://studium-parisiense.univ-paris1.fr/individus/3345-guiarduslaudunensis,22501
3236,GALFREDUS de Fontibus,http://studium-parisiense.univ-paris1.fr/individus/3236-galfredusdefontibus,21930
58187,OCTAVIANUS de Saint-Gelais,http://studium-parisiense.univ-paris1.fr/individus/58187-octavianusdesaint-gelais,21667
1729,CONRADUS de Megenberg,http://studium-parisiense.univ-paris1.fr/individus/1729-conradusdemegenberg,21640
13145,AEGIDIUS Delphus,http://studium-parisiense.univ-paris1.fr/individus/13145-aegidiusdelphus,21619
467,ALEXANDER de Alexandria,http://studium-parisiense.univ-paris1.fr/individus/467-alexanderdealexandria,21614
4650,HENRICUS Bate de Mechlinia,http://studium-parisiense.univ-paris1.fr/individus/4650-henricusbatedemechlinia,21520
19348,FAUSTUS Andrelinus,http://studium-parisiense.univ-paris1.fr/individus/19348-faustusandrelinus,21504
3775,GUILLELMUS Buser de Huesden,http://studium-parisiense.univ-paris1.fr/individus/3775-guillelmusbuserdehuesden,21472
2819,GERARDUS Kypot de Kalker,http://studium-parisiense.univ-paris1.fr/individus/2819-gerarduskypotdekalker,21280
12009,THOMAS Bradwardine,http://studium-parisiense.univ-paris1.fr/individus/12009-thomasbradwardine,21237
2246,FERNANDUS Alphonsi de Corduba,http://studium-parisiense.univ-paris1.fr/individus/2246-fernandusalphonsidecorduba,21205
57608,THOMAS Bradwardine,http://studium-parisiense.univ-paris1.fr/individus/57608-thomasbradwardine,21199
2826,GERARDUS Macheti,http://studium-parisiense.univ-paris1.fr/individus/2826-gerardusmacheti,21073
50807,GUILLELMUS de Nogareto,http://studium-parisiense.univ-paris1.fr/individus/50807-guillelmusdenogareto,20996
2634,GALTERIUS Anglicus,http://studium-parisiense.univ-paris1.fr/individus/2634-galteriusanglicus,20627
2754,GERARDUS de Abbatisvilla,http://studium-parisiense.univ-paris1.fr/individus/2754-gerardusdeabbatisvilla,20514
54893,HUGUCCIO de Pisa,http://studium-parisiense.univ-paris1.fr/individus/54893-hugucciodepisa,20484
56690,PETRUS Cantor,http://studium-parisiense.univ-paris1.fr/individus/56690-petruscantor,20396
50563,GUIDO Terreni,http://studium-parisiense.univ-paris1.fr/individus/50563-guidoterreni,20376
58464,HENRICUS Poelman de Arnhem,http://studium-parisiense.univ-paris1.fr/individus/58464-henricuspoelmandearnhem,20351
